gen_num,min_dist,max_dist,mean_dist,mean_dist_change,mean_verts
0,39.43,1193.53,338.148,0,30.0
1,41.27,1193.53,367.239,29.09,30.0
2,74.61,1193.53,359.79,-7.45,30.0
3,90.65,1201.85,467.292,107.5,29.0
4,90.82,1201.85,456.417,-10.88,30.0
5,24.72,1201.85,369.73,-86.69,30.0
6,24.37,1201.85,305.521,-64.21,29.0
7,67.55,1201.85,409.036,103.51,28.0
8,78.95,1201.85,410.031,1.0,29.0
9,73.08,1201.85,340.568,-69.46,30.0
10,47.94,1240.09,387.707,47.14,30.0
11,107.13,1361.13,522.282,134.58,30.0
12,38.82,1427.77,423.152,-99.13,30.0
13,31.03,1427.77,454.413,31.26,30.0
14,74.17,1427.77,354.862,-99.55,29.0
15,105.58,1472.77,459.317,104.45,29.0
16,81.27,1472.77,422.184,-37.13,28.0
17,63.84,1472.77,406.055,-16.13,28.0
18,90.96,1472.77,405.761,-0.29,29.0
19,64.45,1472.77,387.227,-18.53,29.0
20,57.7,1472.77,328.604,-58.62,30.0
21,68.64,1472.77,391.542,62.94,30.0
22,148.69,1472.77,470.649,79.11,29.0
23,17.41,1534.58,455.494,-15.15,29.0
24,65.24,1534.58,442.924,-12.57,28.0
25,13.88,1534.58,359.262,-83.66,28.0
26,89.33,1534.58,425.432,66.17,28.0
27,99.96,1534.58,401.545,-23.89,28.0
28,125.19,1534.58,414.669,13.12,28.0
29,92.2,4426.29,553.089,138.42,27.0
30,33.11,4426.29,490.657,-62.43,28.0
31,103.69,4426.29,442.35,-48.31,28.0
32,46.36,4426.29,415.949,-26.4,28.0
33,25.34,4426.29,475.697,59.75,28.0
34,19.02,4426.29,449.418,-26.28,28.0
35,43.18,4426.29,458.567,9.15,29.0
36,32.26,4426.29,458.5,-0.07,28.0
37,35.11,4426.29,492.067,33.57,28.0
38,51.81,4426.29,439.392,-52.68,26.0
39,90.08,4426.29,469.309,29.92,25.0
40,6.62,4426.29,495.719,26.41,25.0
41,55.38,4426.29,489.851,-5.87,25.0
42,73.86,4426.29,503.623,13.77,26.0
43,82.09,4426.29,445.817,-57.81,29.0
44,63.32,4426.29,509.175,63.36,29.0
45,58.8,4426.29,459.19,-49.99,27.0
46,125.19,4426.29,580.423,121.23,28.0
47,118.59,4426.29,517.222,-63.2,30.0
48,74.87,4426.29,448.885,-68.34,31.0
49,67.33,4426.29,515.614,66.73,30.0
50,86.01,4426.29,504.284,-11.33,30.0
51,91.65,4426.29,553.019,48.74,30.0
52,12.65,4426.29,525.228,-27.79,29.0
53,44.13,4426.29,491.137,-34.09,30.0
54,24.81,4426.29,533.581,42.44,31.0
55,34.73,4426.29,524.409,-9.17,31.0
56,45.0,4426.29,521.021,-3.39,31.0
57,27.08,4426.29,574.583,53.56,31.0
58,59.41,4426.29,497.793,-76.79,31.0
59,34.68,4426.29,458.429,-39.36,32.0
60,45.74,4426.29,486.223,27.79,32.0
61,78.79,4426.29,490.096,3.87,32.0
62,106.55,4426.29,580.219,90.12,31.0
63,33.54,4426.29,550.219,-30.0,31.0
64,82.16,4426.29,577.968,27.75,30.0
65,24.43,4426.29,507.492,-70.48,30.0
66,68.74,4426.29,589.546,82.05,31.0
67,61.84,4426.29,511.656,-77.89,31.0
68,74.17,4426.29,453.949,-57.71,31.0
69,109.92,4426.29,522.92,68.97,30.0
70,45.38,4426.29,485.694,-37.23,31.0
71,57.71,4426.29,498.988,13.29,31.0
72,3.96,4426.29,497.293,-1.69,32.0
73,68.61,4426.29,589.884,92.59,33.0
74,101.29,4426.29,497.98,-91.9,33.0
75,34.12,4426.29,465.744,-32.24,33.0
76,68.3,4426.29,505.71,39.97,33.0
77,119.14,4426.29,599.217,93.51,32.0
78,82.43,4426.29,473.412,-125.8,32.0
79,59.72,4426.29,511.253,37.84,32.0
80,48.1,4426.29,542.554,31.3,32.0
81,78.99,4426.29,453.282,-89.27,32.0
82,24.67,4426.29,490.147,36.87,32.0
83,4.47,4426.29,517.718,27.57,32.0
84,73.92,4426.29,465.141,-52.58,32.0
85,31.4,4426.29,466.489,1.35,32.0
86,54.63,4426.29,486.664,20.18,32.0
87,33.82,4426.29,496.95,10.29,32.0
88,32.89,4426.29,489.318,-7.63,33.0
89,51.84,4426.29,522.267,32.95,33.0
90,142.41,4426.29,556.827,34.56,33.0
91,104.94,4426.29,511.145,-45.68,33.0
92,20.75,4426.29,499.48,-11.66,33.0
93,73.72,4426.29,571.275,71.79,33.0
94,53.67,4426.29,484.311,-86.96,32.0
95,117.68,5038.67,643.286,158.97,31.0
96,38.76,985.64,407.278,-236.01,31.0
97,50.67,985.64,384.252,-23.03,31.0
98,83.94,985.64,366.289,-17.96,31.0
99,3.03,985.64,316.634,-49.65,31.0
100,8.64,985.64,329.022,12.39,31.0
101,61.98,1553.59,429.543,100.52,30.0
102,29.85,1553.59,406.178,-23.37,31.0
103,57.93,1553.59,322.063,-84.12,31.0
104,60.96,1553.59,386.036,63.97,31.0
105,25.13,1553.59,341.498,-44.54,31.0
106,52.3,1553.59,432.96,91.46,31.0
107,15.4,1553.59,380.74,-52.22,32.0
108,20.32,1553.59,352.121,-28.62,31.0
109,62.13,1553.59,399.154,47.03,32.0
110,39.41,1553.59,396.121,-3.03,31.0
111,20.46,1553.59,321.955,-74.17,31.0
112,67.83,1553.59,458.807,136.85,31.0
113,46.77,1553.59,414.736,-44.07,32.0
114,44.41,1553.59,448.101,33.37,32.0
115,26.67,1553.59,362.262,-85.84,32.0
116,31.11,1553.59,415.524,53.26,31.0
117,23.63,1553.59,390.962,-24.56,32.0
118,29.42,1553.59,352.451,-38.51,31.0
119,67.37,1553.59,384.049,31.6,31.0
120,60.31,1553.59,358.031,-26.02,30.0
121,34.98,1553.59,461.821,103.79,31.0
122,53.8,1553.59,374.669,-87.15,30.0
123,35.15,1553.59,365.258,-9.41,30.0
124,74.42,1553.59,337.936,-27.32,29.0
125,72.62,1553.59,404.951,67.02,30.0
126,25.28,1553.59,362.224,-42.73,30.0
127,48.11,1553.59,418.95,56.73,29.0
128,78.24,1553.59,470.975,52.03,27.0
129,67.3,1553.59,355.874,-115.1,26.0
130,103.17,1553.59,376.292,20.42,26.0
131,10.85,1553.59,303.318,-72.97,26.0
132,26.98,1553.59,356.013,52.69,25.0
133,146.58,1553.59,427.037,71.02,25.0
134,78.42,1553.59,414.816,-12.22,25.0
135,74.25,1553.59,368.764,-46.05,25.0
136,4.59,1553.59,416.482,47.72,25.0
137,31.39,1553.59,446.135,29.65,24.0
138,85.7,1553.59,372.773,-73.36,24.0
139,21.06,1553.59,383.89,11.12,25.0
140,49.13,1553.59,400.373,16.48,25.0
141,36.49,1553.59,353.61,-46.76,24.0
142,27.25,1553.59,344.078,-9.53,24.0
143,81.97,1553.59,370.139,26.06,24.0
144,61.66,1553.59,361.843,-8.3,24.0
145,91.9,1553.59,399.528,37.68,24.0
146,47.7,1553.59,443.25,43.72,25.0
147,57.32,1553.59,335.777,-107.47,24.0
148,108.93,1553.59,416.927,81.15,24.0
149,54.68,1553.59,382.446,-34.48,25.0
150,26.21,1553.59,332.751,-49.7,25.0
151,59.96,1553.59,440.187,107.44,25.0
152,65.24,1719.81,527.805,87.62,25.0
153,143.34,1719.81,475.612,-52.19,25.0
154,68.98,1719.81,466.52,-9.09,26.0
155,23.72,1719.81,389.075,-77.44,26.0
156,83.88,1719.81,401.518,12.44,26.0
157,37.3,1719.81,370.676,-30.84,26.0
158,65.97,1719.81,412.523,41.85,25.0
159,46.8,4493.79,500.826,88.3,26.0
160,57.43,4493.79,523.343,22.52,25.0
161,24.46,4493.79,463.672,-59.67,25.0
162,95.88,4493.79,457.08,-6.59,25.0
163,49.21,4493.79,425.078,-32.0,25.0
164,49.81,4493.79,501.282,76.2,25.0
165,18.65,4493.79,496.208,-5.07,24.0
166,20.69,4493.79,489.896,-6.31,24.0
167,46.87,4493.79,465.078,-24.82,24.0
168,49.19,4493.79,474.785,9.71,24.0
169,72.06,4493.79,521.69,46.91,23.0
170,107.75,4493.79,540.071,18.38,23.0
171,61.76,4493.79,461.775,-78.3,22.0
172,25.95,4493.79,570.337,108.56,22.0
173,74.81,4493.79,571.495,1.16,24.0
174,68.32,4493.79,569.138,-2.36,23.0
175,78.36,4493.79,513.203,-55.94,23.0
176,90.56,4493.79,476.057,-37.15,24.0
177,66.23,4493.79,537.587,61.53,23.0
178,175.06,4493.79,566.173,28.59,23.0
179,6.61,4493.79,468.851,-97.32,23.0
180,35.25,4493.79,508.575,39.72,23.0
181,133.35,4493.79,588.766,80.19,22.0
182,81.12,4493.79,550.857,-37.91,22.0
183,73.05,4493.79,511.291,-39.57,22.0
184,159.0,4493.79,525.267,13.98,22.0
185,10.43,4493.79,496.077,-29.19,23.0
186,25.7,4493.79,497.766,1.69,22.0
187,21.56,4493.79,508.941,11.17,22.0
188,84.95,4493.79,554.635,45.69,23.0
189,35.12,4493.79,542.753,-11.88,23.0
190,7.31,4493.79,433.002,-109.75,22.0
191,8.11,4493.79,526.755,93.75,22.0
192,57.69,4493.79,457.341,-69.41,21.0
193,48.97,4493.79,549.744,92.4,21.0
194,20.79,4493.79,444.631,-105.11,22.0
195,48.15,4493.79,526.79,82.16,23.0
196,19.47,4493.79,447.759,-79.03,21.0
197,57.91,4493.79,499.901,52.14,20.0
198,75.7,4493.79,542.214,42.31,21.0
199,62.97,4493.79,587.266,45.05,24.0
