gen_num,min_dist,max_dist,mean_dist,mean_dist_change,mean_verts
0,116.07,483.79,312.468,0,10.0
1,71.26,780.76,379.444,66.98,10.0
2,145.32,905.42,423.662,44.22,10.0
3,196.28,650.82,405.869,-17.79,10.0
4,95.07,706.48,407.093,1.22,10.0
5,162.65,688.54,423.094,16.0,10.0
6,157.14,592.37,366.96,-56.13,11.0
7,173.29,810.72,388.223,21.26,12.0
8,160.78,958.44,464.202,75.98,11.0
9,153.68,1022.37,505.0,40.8,11.0
10,166.73,819.79,424.098,-80.9,11.0
11,206.0,775.42,451.866,27.77,10.0
12,74.08,838.71,499.518,47.65,11.0
13,163.47,755.36,438.2,-61.32,11.0
14,162.24,982.02,474.258,36.06,10.0
15,329.54,690.9,463.132,-11.13,10.0
16,34.83,753.76,403.145,-59.99,11.0
17,218.44,815.6,508.225,105.08,10.0
18,107.73,894.59,456.621,-51.6,10.0
19,232.0,809.56,477.183,20.56,10.0
20,272.24,809.56,475.284,-1.9,10.0
21,192.34,809.56,539.885,64.6,10.0
22,143.22,809.56,452.431,-87.45,11.0
23,161.47,823.21,468.258,15.83,11.0
24,173.92,886.7,469.231,0.97,11.0
25,65.24,555.02,375.561,-93.67,11.0
26,156.15,699.86,444.306,68.74,11.0
27,190.97,736.01,452.145,7.84,11.0
28,80.58,515.83,332.995,-119.15,11.0
29,81.73,765.3,374.367,41.37,12.0
30,191.67,753.79,431.68,57.31,10.0
31,214.43,952.47,461.972,30.29,10.0
32,219.28,826.32,458.717,-3.25,11.0
33,189.79,826.32,477.056,18.34,11.0
34,233.88,826.32,462.371,-14.69,10.0
35,309.51,826.32,456.475,-5.9,10.0
36,342.72,826.32,471.304,14.83,9.0
37,345.24,826.32,473.185,1.88,9.0
38,248.91,826.32,427.167,-46.02,10.0
39,229.01,826.32,447.7,20.53,10.0
40,371.7,826.32,480.721,33.02,10.0
41,398.88,826.32,466.39,-14.33,10.0
42,349.52,826.32,475.09,8.7,10.0
43,195.82,826.32,493.945,18.86,10.0
44,287.44,826.32,487.235,-6.71,11.0
45,194.83,826.32,462.465,-24.77,11.0
46,340.64,826.32,482.52,20.06,10.0
47,55.46,826.32,405.421,-77.1,10.0
48,127.24,826.32,411.386,5.97,11.0
49,51.17,1025.36,511.786,100.4,11.0
50,183.21,793.32,486.728,-25.06,11.0
51,135.37,793.32,440.556,-46.17,12.0
52,373.35,793.32,505.105,64.55,12.0
53,105.77,793.32,462.803,-42.3,12.0
54,43.8,793.32,433.808,-29.0,12.0
55,98.88,813.56,451.047,17.24,12.0
56,177.06,890.68,540.713,89.67,13.0
57,249.25,890.68,484.533,-56.18,12.0
58,354.69,890.68,550.397,65.86,12.0
59,198.14,890.68,465.271,-85.13,12.0
60,95.33,890.68,527.727,62.46,12.0
61,283.68,890.68,569.905,42.18,13.0
62,322.35,906.83,596.024,26.12,12.0
63,40.57,817.75,574.42,-21.6,12.0
64,331.3,817.75,575.592,1.17,12.0
65,126.19,833.18,514.852,-60.74,11.0
66,351.85,833.18,585.813,70.96,11.0
67,230.67,923.1,540.199,-45.61,11.0
68,127.1,775.38,452.375,-87.82,11.0
69,401.54,974.51,629.668,177.29,11.0
70,285.06,914.68,554.365,-75.3,12.0
71,201.15,952.76,552.166,-2.2,12.0
72,146.47,947.54,535.774,-16.39,12.0
73,148.95,947.54,505.147,-30.63,13.0
74,47.34,947.54,542.538,37.39,13.0
75,124.78,947.54,488.187,-54.35,12.0
76,5.59,947.54,465.165,-23.02,11.0
77,32.73,947.54,575.887,110.72,11.0
78,229.26,1015.1,554.683,-21.2,11.0
79,344.35,919.36,530.627,-24.06,11.0
80,261.07,883.36,529.189,-1.44,12.0
81,211.14,770.08,453.394,-75.79,12.0
82,342.82,900.97,509.891,56.5,11.0
83,317.72,900.97,538.378,28.49,12.0
84,195.94,914.38,579.201,40.82,12.0
85,107.87,910.25,534.928,-44.27,12.0
86,108.52,910.25,495.128,-39.8,11.0
87,251.22,910.25,501.615,6.49,11.0
88,33.96,910.25,460.048,-41.57,12.0
89,99.5,911.8,574.408,114.36,12.0
90,226.05,980.91,656.372,81.96,13.0
91,208.35,903.52,506.967,-149.4,13.0
92,383.86,971.03,653.341,146.37,13.0
93,328.99,913.78,590.928,-62.41,12.0
94,146.35,902.92,522.07,-68.86,12.0
95,164.43,902.92,458.191,-63.88,12.0
96,118.85,962.41,504.76,46.57,12.0
97,75.02,917.92,429.966,-74.79,12.0
98,245.53,888.39,530.327,100.36,12.0
99,205.41,888.39,491.94,-38.39,12.0
