gen_num,min_dist,max_dist,mean_dist,mean_dist_change,mean_verts
0,127.06,1194.89,404.135,0,10.0
1,222.21,649.77,403.347,-0.79,10.0
2,129.21,884.93,453.798,50.45,10.0
3,294.16,1110.4,525.33,71.53,10.0
4,225.22,699.86,466.095,-59.24,10.0
5,97.79,649.55,382.493,-83.6,10.0
6,84.65,735.83,389.205,6.71,11.0
7,61.16,1032.47,457.064,67.86,11.0
8,135.4,948.17,461.792,4.73,11.0
9,225.58,899.34,510.816,49.02,11.0
10,97.43,897.21,452.423,-58.39,11.0
11,103.07,923.94,465.074,12.65,11.0
12,214.81,842.35,451.508,-13.57,10.0
13,237.46,842.35,467.611,16.1,10.0
14,114.81,894.82,503.397,35.79,10.0
15,102.01,785.88,465.14,-38.26,10.0
16,138.08,853.92,402.687,-62.45,10.0
17,233.24,659.41,428.121,25.43,10.0
18,166.99,603.75,411.564,-16.56,10.0
19,232.26,608.25,448.795,37.23,11.0
20,265.13,673.52,469.352,20.56,11.0
21,102.53,673.34,454.706,-14.65,11.0
22,137.34,677.41,462.314,7.61,11.0
23,110.44,603.92,412.142,-50.17,11.0
24,82.62,877.15,458.963,46.82,11.0
25,262.4,796.91,475.446,16.48,11.0
26,97.85,808.6,505.316,29.87,11.0
27,165.89,738.2,486.697,-18.62,11.0
28,311.6,796.43,515.574,28.88,10.0
29,61.67,733.57,417.878,-97.7,10.0
30,296.39,652.91,458.007,40.13,10.0
31,93.19,801.22,401.422,-56.58,10.0
32,97.0,864.03,515.694,114.27,11.0
33,298.33,864.03,490.827,-24.87,10.0
34,310.21,864.03,468.69,-22.14,11.0
35,312.92,864.03,461.098,-7.59,11.0
36,103.43,864.03,443.525,-17.57,11.0
37,313.72,864.03,498.858,55.33,11.0
38,172.97,864.03,467.685,-31.17,11.0
39,172.29,864.03,403.433,-64.25,12.0
40,107.58,864.03,419.458,16.03,11.0
41,101.9,864.03,424.359,4.9,11.0
42,129.89,864.03,435.904,11.55,11.0
43,393.86,933.63,546.932,111.03,11.0
44,200.05,1071.67,486.523,-60.41,11.0
45,109.11,1071.67,489.169,2.65,12.0
46,220.75,1092.05,500.047,10.88,12.0
47,86.07,942.01,437.223,-62.82,12.0
48,249.37,879.31,444.14,6.92,12.0
49,271.63,601.04,414.3,-29.84,12.0
50,74.17,608.47,400.637,-13.66,12.0
51,173.89,950.16,416.556,15.92,12.0
52,171.97,880.56,496.854,80.3,12.0
53,302.38,880.56,473.718,-23.14,12.0
54,208.62,1219.91,527.28,53.56,11.0
55,89.73,792.44,403.711,-123.57,11.0
56,116.51,1058.5,505.666,101.95,11.0
57,49.65,1058.5,466.468,-39.2,11.0
58,87.12,1058.5,406.192,-60.28,11.0
59,85.93,1058.5,446.822,40.63,11.0
60,60.03,1058.5,506.466,59.64,11.0
61,275.99,1105.75,542.212,35.75,11.0
62,249.36,882.21,483.057,-59.15,11.0
63,59.0,591.99,364.208,-118.85,11.0
64,135.91,995.62,478.193,113.98,11.0
65,162.22,995.62,545.016,66.82,11.0
66,176.34,1014.25,436.392,-108.62,11.0
67,73.47,810.96,382.269,-54.12,12.0
68,162.92,722.3,502.304,120.03,12.0
69,199.57,807.81,519.975,17.67,12.0
70,132.35,613.76,398.856,-121.12,12.0
71,218.34,821.47,493.415,94.56,12.0
72,169.65,821.47,476.592,-16.82,12.0
73,90.43,851.87,537.453,60.86,12.0
74,254.71,882.71,537.471,0.02,12.0
75,84.11,720.26,438.077,-99.39,13.0
