gen_num,min_dist,max_dist,mean_dist,mean_dist_change,mean_verts
0,74.67,584.34,297.951,0,30.0
1,50.87,599.19,360.499,62.55,30.0
2,65.93,676.37,382.144,21.64,31.0
3,63.39,1096.47,403.904,21.76,30.0
4,84.87,505.31,317.652,-86.25,31.0
5,70.29,923.03,370.517,52.87,31.0
6,158.64,642.12,391.972,21.45,31.0
7,94.69,887.12,466.839,74.87,31.0
8,97.44,729.9,407.194,-59.64,31.0
9,48.92,729.9,419.915,12.72,32.0
10,83.48,729.9,396.22,-23.69,32.0
11,118.52,729.9,444.99,48.77,32.0
12,60.45,729.9,395.976,-49.01,33.0
13,44.72,729.9,384.792,-11.18,33.0
14,71.91,800.57,432.108,47.32,33.0
15,103.34,557.92,347.029,-85.08,32.0
16,57.59,687.34,369.423,22.39,31.0
17,144.48,1162.94,488.032,118.61,32.0
18,66.04,1310.37,469.709,-18.32,32.0
19,96.73,1096.52,472.754,3.05,32.0
20,76.57,785.32,336.651,-136.1,31.0
21,85.1,785.32,379.601,42.95,31.0
22,130.15,785.32,358.738,-20.86,31.0
23,107.43,785.32,450.807,92.07,31.0
24,201.4,1243.12,503.624,52.82,31.0
25,227.91,776.05,438.186,-65.44,32.0
26,145.92,1165.99,504.851,66.67,32.0
27,63.38,1249.92,415.731,-89.12,32.0
28,155.05,1005.65,474.213,58.48,32.0
29,94.97,1005.65,460.647,-13.57,32.0
30,190.58,1005.65,505.618,44.97,31.0
31,112.67,1005.65,486.632,-18.99,31.0
32,80.15,1005.65,482.812,-3.82,31.0
33,154.09,1139.5,484.458,1.65,31.0
34,128.76,814.01,434.488,-49.97,31.0
35,83.4,1029.59,422.674,-11.81,31.0
36,244.7,999.27,590.193,167.52,32.0
37,158.74,1184.16,517.26,-72.93,33.0
38,156.48,813.23,427.386,-89.87,35.0
39,147.08,947.72,443.006,15.62,35.0
40,16.85,1064.95,389.089,-53.92,35.0
41,125.9,688.56,410.627,21.54,35.0
42,123.44,739.52,398.013,-12.61,35.0
43,10.79,710.4,409.722,11.71,35.0
44,165.79,900.45,523.881,114.16,35.0
45,184.14,699.73,463.567,-60.31,35.0
46,132.82,778.52,481.747,18.18,34.0
47,251.77,969.55,597.313,115.57,34.0
48,372.99,970.8,695.478,98.16,34.0
49,28.01,970.8,549.481,-146.0,34.0
50,341.86,970.8,569.76,20.28,34.0
51,229.73,970.8,592.744,22.98,34.0
52,202.87,970.8,502.253,-90.49,34.0
53,151.1,970.8,525.116,22.86,34.0
54,369.14,970.8,582.786,57.67,33.0
55,231.69,970.8,598.047,15.26,33.0
56,81.27,970.8,611.921,13.87,33.0
57,405.24,970.8,662.509,50.59,33.0
58,192.28,1058.93,593.413,-69.1,34.0
59,366.17,1062.92,704.076,110.66,33.0
60,343.48,845.07,620.235,-83.84,33.0
61,160.63,1155.6,740.791,120.56,32.0
62,222.58,917.85,537.343,-203.45,32.0
63,290.85,871.95,596.694,59.35,32.0
64,374.47,1088.67,674.306,77.61,32.0
65,334.32,1088.67,585.06,-89.25,32.0
66,297.03,1088.67,560.857,-24.2,32.0
67,296.02,1088.67,664.714,103.86,32.0
68,196.78,1088.67,577.879,-86.84,32.0
69,218.31,1088.67,626.066,48.19,32.0
70,142.1,1088.67,599.979,-26.09,32.0
71,161.88,1088.67,593.691,-6.29,32.0
72,157.49,1088.67,606.997,13.31,31.0
73,283.63,1093.23,684.592,77.6,32.0
74,133.38,894.64,580.201,-104.39,32.0
75,167.96,927.54,522.862,-57.34,32.0
76,174.85,912.17,517.794,-5.07,31.0
77,89.85,759.89,468.727,-49.07,31.0
78,288.89,871.04,552.211,83.48,31.0
79,362.61,1053.68,600.931,48.72,30.0
80,364.87,989.14,649.503,48.57,31.0
81,199.17,911.36,574.401,-75.1,32.0
82,175.77,984.2,510.56,-63.84,32.0
83,93.88,829.72,573.996,63.44,32.0
84,403.26,937.38,675.24,101.24,31.0
85,359.57,1154.65,640.148,-35.09,32.0
86,139.47,1080.18,611.646,-28.5,32.0
87,191.49,1080.18,499.579,-112.07,33.0
88,235.81,1080.18,668.659,169.08,33.0
89,266.89,1080.18,616.851,-51.81,33.0
90,111.87,1080.18,556.139,-60.71,33.0
91,204.39,1080.18,685.814,129.67,33.0
92,261.18,1121.63,622.922,-62.89,33.0
93,121.3,1063.04,549.603,-73.32,33.0
94,163.12,1102.04,631.403,81.8,33.0
95,376.76,994.83,630.472,-0.93,33.0
96,173.76,1001.8,555.38,-75.09,33.0
97,217.19,1220.16,515.211,-40.17,33.0
98,115.03,1220.16,679.085,163.87,33.0
99,213.31,1220.16,492.742,-186.34,32.0
