gen_num,min_dist,max_dist,mean_dist,mean_dist_change,mean_verts
0,131.59,460.26,322.518,0,10.0
1,67.89,647.5,311.167,-11.35,10.0
2,100.99,616.92,351.103,39.94,10.0
3,148.72,769.12,401.429,50.33,10.0
4,242.54,839.67,434.752,33.32,10.0
5,120.48,740.16,344.268,-90.48,10.0
6,157.05,610.32,346.841,2.57,10.0
7,138.67,806.44,417.961,71.12,11.0
8,53.97,623.32,351.902,-66.06,11.0
9,176.42,607.99,401.643,49.74,10.0
10,79.7,629.59,354.879,-46.76,10.0
11,62.23,1051.74,349.217,-5.66,10.0
12,73.89,648.65,353.109,3.89,10.0
13,35.77,1174.97,404.84,51.73,10.0
14,86.47,1043.78,328.475,-76.36,9.0
15,85.18,699.3,398.847,70.37,9.0
16,103.76,639.66,348.883,-49.96,9.0
17,71.94,716.55,378.05,29.17,10.0
18,151.04,671.78,401.148,23.1,10.0
19,160.74,489.21,375.073,-26.08,9.0
20,82.12,673.35,438.24,63.17,9.0
21,75.19,631.83,334.098,-104.14,9.0
22,128.89,561.91,336.139,2.04,9.0
23,138.45,988.75,423.397,87.26,9.0
24,141.7,576.3,353.142,-70.26,12.0
25,129.53,1130.09,402.401,49.26,12.0
26,27.7,902.0,391.975,-10.43,11.0
27,156.49,609.82,377.087,-14.89,12.0
28,93.55,591.88,368.102,-8.99,13.0
29,162.86,862.8,412.19,44.09,13.0
30,92.03,850.54,324.185,-88.0,13.0
31,222.17,563.45,367.263,43.08,12.0
32,108.07,839.47,361.242,-6.02,11.0
33,112.02,533.64,340.362,-20.88,11.0
34,69.63,518.42,356.884,16.52,11.0
35,206.38,661.51,375.894,19.01,11.0
36,275.82,1226.53,471.675,95.78,11.0
37,152.61,1003.46,388.14,-83.54,11.0
38,210.53,625.58,416.17,28.03,12.0
39,113.09,814.44,380.114,-36.06,12.0
40,145.97,672.6,413.534,33.42,12.0
41,159.21,801.41,373.58,-39.95,11.0
42,131.87,786.42,365.236,-8.34,11.0
43,229.75,922.3,509.42,144.18,12.0
44,123.68,1002.5,434.987,-74.43,12.0
45,134.24,703.51,389.025,-45.96,11.0
46,61.61,616.85,364.448,-24.58,11.0
47,60.19,608.78,346.371,-18.08,11.0
48,55.38,659.24,389.384,43.01,12.0
49,149.38,746.96,404.489,15.1,12.0
50,113.85,746.96,414.089,9.6,12.0
51,30.06,749.86,431.629,17.54,11.0
52,130.34,714.94,359.003,-72.63,11.0
53,186.83,714.94,394.87,35.87,11.0
54,174.26,714.94,404.774,9.9,10.0
55,59.76,1079.46,461.649,56.88,10.0
56,220.81,892.8,506.543,44.89,11.0
57,130.11,676.63,447.888,-58.66,11.0
58,222.43,764.97,383.905,-63.98,10.0
59,150.78,672.89,401.629,17.72,10.0
60,116.0,756.17,403.439,1.81,10.0
61,72.75,756.17,398.122,-5.32,10.0
62,2.71,756.17,305.81,-92.31,10.0
63,143.58,935.18,445.134,139.32,10.0
64,162.57,693.51,396.386,-48.75,9.0
65,38.35,765.18,385.484,-10.9,9.0
66,58.88,1008.32,384.195,-1.29,10.0
67,90.54,877.85,407.283,23.09,11.0
68,253.81,877.85,400.016,-7.27,11.0
69,116.68,877.85,373.771,-26.25,11.0
70,154.32,877.85,395.708,21.94,12.0
71,132.03,877.85,432.275,36.57,12.0
72,85.79,877.85,410.324,-21.95,12.0
73,164.46,877.85,454.637,44.31,13.0
74,173.18,877.85,415.531,-39.11,12.0
75,84.4,1133.36,528.462,112.93,13.0
76,122.56,766.0,442.385,-86.08,13.0
77,245.51,648.48,412.613,-29.77,11.0
78,146.39,637.14,398.896,-13.72,12.0
79,143.31,663.62,395.042,-3.85,11.0
80,129.59,664.1,376.434,-18.61,10.0
81,139.67,639.06,389.361,12.93,10.0
82,96.85,704.85,424.751,35.39,8.0
83,176.94,493.05,364.361,-60.39,8.0
84,259.99,553.96,432.743,68.38,8.0
85,146.01,773.0,373.011,-59.73,8.0
86,60.5,783.37,412.22,39.21,8.0
87,162.6,783.37,427.738,15.52,10.0
88,106.7,783.37,448.604,20.87,11.0
89,95.01,783.37,412.447,-36.16,10.0
90,179.96,783.37,361.679,-50.77,9.0
91,198.51,783.37,390.07,28.39,9.0
92,130.69,783.37,432.303,42.23,8.0
93,239.69,783.37,405.689,-26.61,8.0
94,25.36,783.37,375.498,-30.19,8.0
95,210.41,783.37,440.632,65.13,8.0
96,148.35,783.37,403.028,-37.6,8.0
97,175.56,783.37,380.286,-22.74,8.0
98,107.99,783.37,444.202,63.92,7.0
99,263.24,783.37,465.477,21.27,8.0
