gen_num,min_dist,max_dist,mean_dist,mean_dist_change,mean_verts
0,87.58,754.57,365.383,0,10.0
1,71.71,625.68,340.929,-24.45,10.0
2,72.36,1053.94,380.278,39.35,10.0
3,44.1,934.77,358.581,-21.7,10.0
4,84.13,1006.31,399.753,41.17,10.0
5,122.39,1045.59,423.516,23.76,10.0
6,99.09,1045.59,465.931,42.41,9.0
7,19.09,1045.59,520.803,54.87,10.0
8,64.56,1045.59,464.34,-56.46,10.0
9,144.59,1045.59,466.005,1.67,11.0
10,93.58,1104.91,440.282,-25.72,11.0
11,77.24,1049.82,435.901,-4.38,11.0
12,204.7,1215.93,479.508,43.61,11.0
13,23.38,1054.17,466.932,-12.58,11.0
14,161.04,700.92,413.219,-53.71,11.0
15,132.51,943.94,421.06,7.84,11.0
16,78.34,787.64,440.351,19.29,12.0
17,77.69,807.49,434.252,-6.1,12.0
18,83.14,760.61,435.395,1.14,12.0
19,223.19,884.86,440.735,5.34,12.0
20,86.59,895.77,446.243,5.51,12.0
21,104.54,857.95,404.34,-41.9,12.0
22,105.22,765.27,403.169,-1.17,12.0
23,103.8,916.73,446.343,43.17,12.0
24,167.22,734.34,445.421,-0.92,12.0
25,124.57,796.19,464.258,18.84,11.0
26,84.18,972.36,489.578,25.32,11.0
27,104.74,923.49,502.074,12.5,11.0
28,191.69,922.62,498.049,-4.03,11.0
29,34.88,1056.19,528.755,30.71,11.0
30,129.94,1099.22,556.482,27.73,11.0
31,126.0,1099.22,526.721,-29.76,11.0
32,111.31,1099.22,453.11,-73.61,11.0
33,116.87,1099.22,496.367,43.26,11.0
34,153.39,1099.22,549.247,52.88,11.0
35,101.16,1099.22,534.196,-15.05,11.0
36,242.51,1099.22,516.964,-17.23,11.0
37,165.73,1099.22,424.018,-92.95,12.0
38,186.58,1099.22,466.739,42.72,12.0
39,103.49,1099.22,444.396,-22.34,12.0
40,106.18,1099.22,461.63,17.23,11.0
41,112.11,1099.22,425.111,-36.52,11.0
42,87.06,1099.22,420.389,-4.72,12.0
43,122.85,1099.22,391.036,-29.35,11.0
44,11.22,1099.22,424.597,33.56,11.0
45,43.4,1099.22,435.042,10.44,12.0
46,161.02,1099.22,425.642,-9.4,11.0
47,143.28,1099.22,473.864,48.22,12.0
48,221.8,1099.22,505.501,31.64,11.0
49,93.39,1099.22,466.062,-39.44,11.0
50,190.46,1099.22,567.621,101.56,12.0
51,299.03,1099.22,562.707,-4.91,12.0
52,115.61,1099.22,424.207,-138.5,12.0
53,134.72,1099.22,515.709,91.5,12.0
54,148.54,1099.22,534.151,18.44,12.0
55,184.69,1099.22,583.995,49.84,12.0
56,183.84,1131.98,583.774,-0.22,13.0
57,83.11,795.61,446.728,-137.05,13.0
58,136.3,884.2,509.226,62.5,13.0
59,274.13,797.76,498.426,-10.8,13.0
60,183.16,797.76,472.839,-25.59,13.0
61,195.8,797.76,464.836,-8.0,13.0
62,95.3,880.9,478.739,13.9,13.0
63,189.66,772.42,480.82,2.08,13.0
64,185.6,1128.21,513.568,32.75,13.0
65,320.35,666.61,481.536,-32.03,13.0
66,197.36,829.79,508.369,26.83,14.0
67,104.1,922.07,444.345,-64.02,13.0
68,221.52,686.79,456.748,12.4,13.0
69,15.83,924.4,509.504,52.76,13.0
70,193.81,864.1,465.674,-43.83,13.0
71,126.7,666.62,420.568,-45.11,14.0
72,350.66,734.64,482.478,61.91,14.0
73,131.92,894.12,474.873,-7.61,14.0
74,211.06,894.12,483.96,9.09,15.0
75,154.69,895.07,483.489,-0.47,15.0
76,147.05,871.81,505.728,22.24,15.0
77,89.75,934.16,424.617,-81.11,15.0
78,102.91,911.23,466.158,41.54,15.0
79,368.17,911.23,537.288,71.13,15.0
80,135.94,911.23,487.851,-49.44,15.0
81,60.68,1268.99,541.955,54.1,15.0
82,107.48,1268.99,496.089,-45.87,16.0
83,179.09,1268.99,497.199,1.11,15.0
84,111.72,1268.99,490.405,-6.79,15.0
85,187.52,1268.99,572.057,81.65,15.0
86,105.79,1268.99,548.587,-23.47,16.0
87,149.26,1268.99,486.408,-62.18,15.0
88,225.0,1268.99,562.778,76.37,16.0
89,286.32,1268.99,588.49,25.71,16.0
90,129.45,1268.99,575.509,-12.98,16.0
91,91.71,1268.99,477.027,-98.48,17.0
92,82.11,1268.99,570.655,93.63,16.0
93,89.58,1268.99,565.408,-5.25,16.0
94,111.19,1268.99,516.589,-48.82,16.0
95,126.31,1268.99,608.802,92.21,16.0
96,143.02,1268.99,537.408,-71.39,16.0
97,109.57,1268.99,588.135,50.73,16.0
98,98.48,1268.99,584.322,-3.81,16.0
99,144.99,1268.99,534.16,-50.16,16.0
