gen_num,min_dist,max_dist,mean_dist,mean_dist_change,mean_verts
0,61.28,1953.89,399.376,0,30.0
1,40.97,1953.89,469.691,70.32,30.0
2,77.15,1953.89,487.019,17.33,30.0
3,36.13,1953.89,429.296,-57.72,30.0
4,71.75,1953.89,420.68,-8.62,30.0
5,38.87,1953.89,483.941,63.26,30.0
6,41.88,1953.89,462.557,-21.38,31.0
7,83.45,1953.89,412.272,-50.29,32.0
8,92.11,1953.89,519.033,106.76,32.0
9,124.57,1953.89,518.936,-0.1,32.0
10,127.4,1953.89,566.239,47.3,32.0
11,62.33,1953.89,594.129,27.89,32.0
12,81.07,1953.89,647.783,53.65,33.0
13,36.9,1953.89,523.892,-123.89,33.0
14,93.63,1953.89,571.855,47.96,33.0
15,44.08,1953.89,589.002,17.15,34.0
16,32.75,1953.89,608.543,19.54,34.0
17,137.63,1953.89,642.665,34.12,34.0
18,150.7,1953.89,626.391,-16.27,33.0
19,55.74,1953.89,570.357,-56.03,34.0
20,137.51,1953.89,697.212,126.86,34.0
21,141.54,1953.89,705.58,8.37,34.0
22,98.15,1953.89,569.44,-136.14,34.0
23,116.02,1953.89,659.808,90.37,34.0
24,85.49,1953.89,630.445,-29.36,34.0
25,78.36,1953.89,549.7,-80.74,34.0
26,105.4,1953.89,610.029,60.33,33.0
27,118.25,1953.89,519.759,-90.27,33.0
28,91.4,1953.89,576.271,56.51,33.0
29,115.13,1953.89,677.168,100.9,33.0
30,75.47,1953.89,476.979,-200.19,33.0
31,162.26,1953.89,576.283,99.3,33.0
32,252.16,1953.89,680.22,103.94,34.0
33,124.06,1953.89,681.1,0.88,34.0
34,102.06,1953.89,533.433,-147.67,33.0
35,108.46,1953.89,568.947,35.51,33.0
36,140.99,1953.89,656.968,88.02,33.0
37,104.06,1953.89,591.303,-65.66,32.0
38,160.86,1953.89,584.683,-6.62,32.0
39,164.49,1953.89,537.23,-47.45,32.0
40,193.96,1953.89,594.077,56.85,31.0
41,155.75,1953.89,630.607,36.53,32.0
42,175.16,1953.89,600.882,-29.73,32.0
43,128.88,1953.89,624.603,23.72,32.0
44,196.52,1953.89,592.278,-32.32,32.0
45,156.59,1953.89,613.646,21.37,32.0
46,96.53,1953.89,561.032,-52.61,32.0
47,226.34,1953.89,644.416,83.38,31.0
48,96.02,1953.89,642.557,-1.86,31.0
49,185.37,1953.89,545.765,-96.79,31.0
50,116.26,1953.89,658.58,112.82,32.0
51,142.01,1953.89,586.264,-72.32,32.0
52,136.84,1953.89,506.273,-79.99,32.0
53,121.46,1953.89,449.18,-57.09,32.0
54,57.01,1953.89,489.999,40.82,32.0
55,41.48,1953.89,465.072,-24.93,33.0
56,141.27,1953.89,493.958,28.89,33.0
57,61.48,1953.89,544.032,50.07,33.0
58,89.01,1953.89,659.056,115.02,33.0
59,69.32,1953.89,553.25,-105.81,33.0
60,219.84,1953.89,604.788,51.54,34.0
61,74.19,1953.89,592.499,-12.29,33.0
62,209.96,1953.89,573.042,-19.46,34.0
63,177.12,1953.89,596.433,23.39,33.0
64,151.01,1953.89,575.357,-21.08,33.0
65,68.93,1953.89,478.588,-96.77,33.0
66,41.52,2501.46,589.338,110.75,33.0
67,133.14,2501.46,514.477,-74.86,32.0
68,201.72,2501.46,574.287,59.81,32.0
69,62.15,2501.46,522.457,-51.83,32.0
70,49.63,2501.46,579.069,56.61,32.0
71,164.27,2501.46,555.966,-23.1,32.0
72,183.32,2501.46,603.791,47.83,31.0
73,69.59,2501.46,552.964,-50.83,32.0
74,126.66,2501.46,557.159,4.19,31.0
75,58.97,2501.46,539.843,-17.32,32.0
76,240.63,2501.46,493.194,-46.65,31.0
77,178.04,2501.46,480.109,-13.09,31.0
78,301.87,2501.46,561.574,81.46,32.0
79,160.62,2501.46,522.597,-38.98,31.0
80,171.18,2501.46,578.14,55.54,30.0
81,256.97,2501.46,582.554,4.41,30.0
82,332.83,2501.46,623.595,41.04,30.0
83,167.58,2501.46,567.921,-55.67,30.0
84,300.59,2501.46,595.205,27.28,30.0
85,105.38,2501.46,639.625,44.42,30.0
86,171.75,2501.46,629.342,-10.28,30.0
87,129.28,2501.46,634.655,5.31,32.0
88,218.13,2501.46,639.011,4.36,33.0
89,211.09,2501.46,640.43,1.42,32.0
90,105.11,2501.46,633.418,-7.01,32.0
91,249.86,2501.46,555.884,-77.53,32.0
92,104.07,2501.46,650.873,94.99,32.0
93,353.97,2501.46,698.732,47.86,33.0
94,167.17,2501.46,633.273,-65.46,34.0
95,162.99,2501.46,778.194,144.92,33.0
96,294.23,2501.46,660.545,-117.65,33.0
97,231.58,2501.46,757.191,96.65,32.0
98,265.65,2501.46,701.944,-55.25,32.0
99,188.9,2501.46,668.172,-33.77,31.0
