gen_num,min_dist,max_dist,mean_dist,mean_dist_change,mean_verts
0,195.65,735.43,408.126,0,10.0
1,251.93,735.43,458.676,50.55,10.0
2,268.19,735.43,411.69,-46.99,10.0
3,193.85,735.43,350.496,-61.19,10.0
4,125.95,735.43,359.974,9.48,9.0
5,182.75,735.43,408.331,48.36,9.0
6,204.87,735.43,426.715,18.38,9.0
7,237.07,735.43,411.24,-15.47,9.0
8,167.11,735.43,381.764,-29.48,9.0
9,172.35,735.43,404.404,22.64,9.0
10,323.61,735.43,417.512,13.11,8.0
11,199.85,735.43,409.682,-7.83,10.0
12,186.2,735.43,394.753,-14.93,10.0
13,200.27,777.07,417.51,22.76,10.0
14,250.99,635.18,440.538,23.03,11.0
15,248.19,723.07,437.279,-3.26,11.0
16,281.54,723.07,432.306,-4.97,12.0
17,237.95,588.9,403.097,-29.21,12.0
18,16.92,518.07,374.586,-28.51,12.0
19,107.37,544.01,432.045,57.46,13.0
20,222.05,590.54,406.873,-25.17,13.0
21,189.8,659.59,425.416,18.54,13.0
22,252.38,672.95,474.61,49.19,13.0
23,270.77,607.7,468.532,-6.08,13.0
24,199.8,611.45,476.137,7.61,13.0
25,276.05,629.02,455.169,-20.97,13.0
26,255.57,605.82,466.301,11.13,13.0
27,282.53,605.82,448.112,-18.19,13.0
28,244.34,621.46,449.02,0.91,13.0
29,166.01,573.33,431.198,-17.82,12.0
